ticker,entry_date,entry,qty,stop,target,exit_date,exit,pnl,ret
BA,2025-01-29,179.22,58,162.15,222.22,2025-03-04,162.07,-994.76,-0.0957
V,2025-03-05,347.68,98,337.58,436.11,2025-03-06,337.41,-1006.34,-0.0295
V,2025-03-06,342.85,187,337.58,436.67,2025-03-07,337.41,-1017.05,-0.0159
ABBV,2025-03-25,200.86,206,196.13,250.89,2025-03-26,194.81,-1245.73,-0.0301
UBER,2025-02-07,70.4,126,62.47,87.49,2025-04-07,62.44,-1003.12,-0.1131
NFLX,2025-07-18,124.26,327,121.28,159.27,2025-07-21,120.54,-1216.54,-0.0299
NOW,2025-07-30,198.42,84,186.73,248.3,2025-08-01,186.64,-989.8,-0.0594
GOOG,2025-06-04,167.68,144,161.14,208.79,2025-08-25,208.69,5904.81,0.2445
GOOGL,2025-06-30,180.36,45,159.12,222.53,2025-09-03,225.45,2029.22,0.25
NFLX,2025-08-21,121.2,159,115.07,151.73,2025-10-02,115.01,-983.82,-0.0511
LLY,2025-09-04,733.12,16,671.6,917.82,2025-11-05,917.36,2947.86,0.2513
VST,2025-09-10,199.57,40,174.84,240.96,2025-11-13,174.75,-992.7,-0.1244
CSCO,2025-12-26,77.3,305,73.98,96.48,2026-01-07,73.94,-1023.88,-0.0434
META,2025-12-22,660.8,30,627.4,822.0,2026-01-13,627.09,-1011.41,-0.051
ACN,2025-12-22,269.46,72,255.41,337.45,2026-01-29,255.28,-1020.79,-0.0526
BA,2026-01-28,244.21,109,235.17,305.7,2026-01-29,235.05,-998.18,-0.0375
BA,2026-01-29,242.2,112,233.54,301.99,2026-01-30,233.38,-987.48,-0.0364
AMD,2026-02-25,214.93,40,191.24,267.3,2026-03-02,191.14,-951.42,-0.1107
LLY,2026-02-09,1073.98,9,975.37,1318.25,2026-03-05,974.88,-891.88,-0.0923
ABBV,2026-02-09,221.69,43,199.55,276.99,2026-04-24,198.83,-982.96,-0.1031
QCOM,2026-04-30,171.5,22,129.34,194.28,2026-05-06,194.36,503.02,0.1333
CRWD,2026-04-17,429.17,13,359.0,522.75,2026-05-08,522.49,1213.14,0.2174
VST,2026-04-15,165.35,37,140.01,204.68,2026-05-13,139.94,-940.17,-0.1537
UBER,2026-05-12,76.24,203,71.58,95.19,2026-05-22,71.54,-953.25,-0.0616
NOW,2026-05-19,110.2,36,84.16,129.27,2026-06-01,135.7,918.08,0.2314
IBM,2026-05-22,262.18,17,209.15,316.21,2026-06-01,322.39,1023.55,0.2296
PLTR,2026-06-01,160.06,31,129.36,195.67,2026-06-09,129.3,-953.71,-0.1922
ACN,2026-05-19,180.09,35,153.48,221.94,2026-06-18,126.44,-1877.86,-0.2979
